Category,Value,Question,Answer,
1970,100,En låt om en demonisk figur från Black Sabbath 1970,Vad är Iron Man?,
1970,200,Detta band släppte albumet som inkluderar låten Black Dog,Vilka är Led Zeppelin?
1970,300,Sångaren som sjäng om en verklig händelse i Schweiz,Vem är Ian Gillan?
1970,400,Album av Uriah Heep 1972 med låten Easy Livin,Vad är Demons and Wizards?
1970,500,Priest-gitarrist kallad The Metal God,Vem är Glenn Tipton?
1980,100,Låt från Blizzard of Ozz och handlar om en mytisk galenskap,Vad är Crazy Train?
1980,200,Trummis som förlorade en arm i en bilolycka men fortsatte spela med bandet,Vem är Rick Allen?
1980,300,Producent som arbetade med Metallicas Kill 'Em All från 1983,Vem ärr Paul Curcio?
1980,400,Låt från albumet Powerslave 1984 som är inspirerad av Samuel Taylor Coleridges dikt,Vad är Rime of the Ancient Mariner?
1980,500,Mercyful Fate gitarist som anses vara en av de mest inflytelserika inom black metal-genren,Vem är Hank Shermann?
1990,100,Album från 1991 med lårar som Bloom och Breed,Vad är Nevermind?,
1990,200,Panteras mest framgångsrika sångare,Vem är Phil Anselmo?,
1990,300,Slayer-gitarrist anses vara en thrash metal-ikon,Vem är Kerry King?,
1990,400,Alice in Chains frontman som dog av en överdos 2002,Vem är Layne Staley?,
1990,500,Dream Theater trummis som anses vara en mästare inom progressiv metal,Vem är Mike Portnoy?,
2000,100,System of a Downs hitlåt som börjar med Wake up grab a brush.,Vad är Chop Suey?,
2000,200,Denne maskerade sångare leder Slipknot och Stone Sour.,Vem är Corey Taylor?,
2000,300,Lamb of Gods album från 2004 med låten Laid to Rest,Vad är Ashes of the Wake?,
2000,400,Gitarristen från Avenged Sevenfold som gick bort 2009,Vem är The Rev (Jimmy Sullivan)?,
2000,500,Denne producent har arbetat med Metallica och Slipknot,Vem är Rick Rubin?
2010,100,Detta band med en mystisk frontfigur släppte albumet Meliora 2015,Vad är Ghost?
2010,200,Denne sångare från Slipknot fick sitt första soloalbum släppt 2020,Vem är Corey Taylor?
2010,300,Detta album från Iron Maiden släpptes 2015 och innehåller låten Speed of Light,Vad är The Book of Souls?
2010,400,Denne tidigare Nightwish-sångerska släppte sitt soloalbum What Lies Beneath 2010,Vem är Tarja Turunen?
2010,500,Denne gitarrist från Tool skapade komplexa riff på deras efterlängtade album Fear Inoculum 2019,Vem är Adam Jones?
