Category,Value,Question,Answer
Klassiska svenska godissorter,100,Den chokladbit som lanserades 1916 och är en svensk klassiker.,Vad är Marabou?
Klassiska svenska godissorter,200,Den salta godissorten som ofta är formad som fiskar.,Vad är saltlakrits?
Klassiska svenska godissorter,300,Den chokladbit som är känd för sin slogan Plopp är gott.,Vad är Plopp?
Klassiska svenska godissorter,400,Den klassiska godispåsen som innehåller både sött och salt.,Vad är Gott & Blandat?
Klassiska svenska godissorter,500,Den chokladbit fylld med arrakssmak som ibland kallas dammsugare.,Vad är Punchrulle?
Godis och kultur,100,Svensk tradition där barn klär ut sig och samlar godis på påskafton.,Vad är påskkärringar?
Godis och kultur,200,Högtiden då svenskar äter mest lösgodis.,Vad är påsk?
Godis och kultur,300,Svensk film där nonstop äts under en bilresa.,Vad är Sällskapsresan?
Godis och kultur,400,Författaren till boken Kalle och chokladfabriken.,Vem är Roald Dahl?
Godis och kultur,500,Svensk tradition där man kastar godis från lastbilar till barn.,Vad är studentflak?
Godisfakta,100,Så här många kilo godis äter svenskar i genomsnitt per år.,Vad är 16 kilo?
Godisfakta,200,Den vanligaste smaken på svenskt lösgodis.,Vad är jordgubb?
Godisfakta,300,Svensk godissort känd för att vara sockerfri.,Vad är Läkerol?
Godisfakta,400,Svensk godissort känd för att innehålla salmiak.,Vad är Turkisk Peppar?
Godisfakta,500,Svensk vegansk godissort som ofta används i bakning.,Vad är Geléhallon?
Godisföretag,100,Företaget som tillverkar Daim i Sverige.,Vad är Marabou?
Godisföretag,200,Företaget känt för sina klassiska chokladaskar i Sverige.,Vad är Aladdin?
Godisföretag,300,Företaget som tillverkar Ahlgrens bilar.,Vad är Cloetta?
Godisföretag,400,Företaget känt för sina lakritsprodukter i Sverige.,Vad är Malaco?
Godisföretag,500,Företaget som tillverkar Polly i Sverige.,Vad är Cloetta?
Godis i populärkultur,100,Svensk artist som sjunger om godis i låten Godis.,Vem är Markoolio?
Godis i populärkultur,200,Svensk tv-serie där karaktärerna ofta äter lösgodis.,Vad är Solsidan?
Godis i populärkultur,300,Svensk film där chokladbitar äts under en tågresa.,Vad är Tågresan?
Godis i populärkultur,400,Svensk bok där godis används som metafor för lycka.,Vad är Godisregn?
Godis i populärkultur,500,Svensk tv-serie där en av karaktärerna driver en godisbutik.,Vad är Svensson, Svensson?
