Category,Value,Question,Answer
Svenska landskap,100,Sveriges största landskap till ytan,Vad är Lappland?
Svenska landskap,200,Landskapet där Stockholm ligger,Vad är Södermanland?
Svenska landskap,300,Landskapet känt för sina dalahästar,Vad är Dalarna?
Svenska landskap,400,Sveriges sydligaste landskap,Vad är Skåne?
Svenska landskap,500,Landskapet med Kebnekaise Sveriges högsta berg,Vad är Lappland?
Svensk historia,100,Sveriges nationaldag firas till minne av denna händelse,Vad är Gustav Vasas val till kung 1523?
Svensk historia,200,Kung som ledde Sverige under stormaktstiden,Vem är Gustav II Adolf?
Svensk historia,300,Året då Sverige gick över till högertrafik,Vad är 1967?
Svensk historia,400,Svensk drottning som abdikerade och flyttade till Rom,Vem är Kristina?
Svensk historia,500,Fredsavtal som avslutade det stora nordiska kriget,Vad är freden i Nystad?
Svenska traditioner,100,Högtid då man dansar runt en stång klädd med löv och blommor,Vad är midsommar?
Svenska traditioner,200,Bakverket som äts på fettisdagen,Vad är semla?
Svenska traditioner,300,Helgon vars dag firas med ljuskronor och lussebullar,Vem är Lucia?
Svenska traditioner,400,Tradition att äta sill surströmming och nubbe,Vad är kräftskiva?
Svenska traditioner,500,Seden att bränna en stor hög med grenar och skräp på våren,Vad är valborgsmässoafton?
Svenska uppfinningar,100,Säkerhetsutrustning i bilar uppfunnen av Nils Bohlin,Vad är trepunktsbältet?
Svenska uppfinningar,200,Verktyg uppfunnet av Johan Petter Johansson,Vad är skiftnyckeln?
Svenska uppfinningar,300,Förpackning för mjölk och juice uppfunnen av Ruben Rausing,Vad är Tetra Pak?
Svenska uppfinningar,400,Kommunikationsapplikation grundad av Niklas Zennström,Vad är Skype?
Svenska uppfinningar,500,Musiktjänst grundad av Daniel Ek,Vad är Spotify?
Kända svenskar,100,Författaren bakom Pippi Långstrump,Vem är Astrid Lindgren?
Kända svenskar,200,Svensk tennislegend med smeknamnet Iceborg,Vem är Björn Borg?
Kända svenskar,300,Sveriges mest berömde kemist genom tiderna,Vem är Alfred Nobel?
Kända svenskar,400,Svensk skådespelare känd för roller i Mamma Mia och Thor,Vem är Stellan Skarsgård?
Kända svenskar,500,Nobelpristagare i litteratur 2011,Vem är Tomas Tranströmer?
